module,type,name,res_id,src,value,comments
intervention_management,model_terms,"ir.ui.view,arch_db",intervention_management.view_openacad_session_kanban,"<br/>
                                    Start date:","<br/>
                                    Start date:",
intervention_management,model_terms,"ir.ui.view,arch_db",intervention_management.view_openacad_session_kanban,"<br/>
                                    duration:","<br/>
                                    duration:",
intervention_management,model_terms,"ir.ui.view,arch_db",intervention_management.view_openacad_session_kanban,"<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>","<i class=""fa fa-bars fa-lg"" title=""Manage"" aria-label=""Manage""/>",
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_equipment__message_needaction,Action Needed,إجراء مطلوب,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_panne__message_needaction,Action Needed,إجراء مطلوب,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_piece__message_needaction,Action Needed,إجراء مطلوب,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_station__message_needaction,Action Needed,إجراء مطلوب,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_equipment__activity_ids,Activities,الأنشطة,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_panne__activity_ids,Activities,الأنشطة,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_piece__activity_ids,Activities,الأنشطة,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_station__activity_ids,Activities,الأنشطة,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_equipment__activity_exception_decoration,Activity Exception Decoration,Activity Exception Decoration,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_panne__activity_exception_decoration,Activity Exception Decoration,Activity Exception Decoration,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_piece__activity_exception_decoration,Activity Exception Decoration,Activity Exception Decoration,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_station__activity_exception_decoration,Activity Exception Decoration,Activity Exception Decoration,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_equipment__activity_state,Activity State,حالة النشاط,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_panne__activity_state,Activity State,حالة النشاط,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_piece__activity_state,Activity State,حالة النشاط,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_station__activity_state,Activity State,حالة النشاط,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_equipment__message_attachment_count,Attachment Count,عدد المرفقات,
intervention_management,model,"ir.model.fields,field_description",intervention_management.field_intervention_management_panne__message_attachment_count,Attachment Count,عدد المرفقات,
